2019-03-25 11:30:41.583328|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2019-03-25 18:05:44.861506|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
2019-03-26 01:27:16.673019|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2019-03-26 07:10:50.080586|INFO    |VirtualServer |1  |client (id:493) was added to servergroup 'Monkas'(id:6) by client 'Ford'(id:454)
2019-03-26 07:12:08.244327|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:1968538709) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: MuffinnnZzzz ●﹏●'(id:17)
2019-03-26 07:12:24.357344|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:1269629472) was added by 'ZivesO'(id:493) to channel 'Watching anime'(id:9)
2019-03-26 07:12:33.023044|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:-958066624) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: Jimmy'(id:22)
2019-03-26 07:12:43.548738|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:-292357720) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: Merodachs'(id:20)
2019-03-26 07:12:54.330637|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:-2060497564) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: anna molly'(id:36)
2019-03-26 07:13:10.066185|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:403127093) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: Tinúviel'(id:28)
2019-03-26 07:13:16.436087|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:-1750768366) was added by 'ZivesO'(id:493) to channel 'Sleeping Beauty'(id:40)
2019-03-26 07:13:29.441215|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:651332214) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: FEVER'(id:31)
2019-03-26 07:13:40.469056|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:0) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: Fixz'(id:52)
2019-03-26 07:13:52.814619|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:0) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: MuffinnnZzzz ●﹏●'(id:17)
2019-03-26 07:13:59.098603|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:0) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: Merodachs'(id:20)
2019-03-26 07:14:04.450023|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:0) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: anna molly'(id:36)
2019-03-26 07:14:09.190381|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:0) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: KBoB'(id:24)
2019-03-26 07:14:15.304255|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:0) was added by 'ZivesO'(id:493) to channel 'я๐๐м :: FEVER'(id:31)
2019-03-26 11:50:21.141035|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2019-03-26 12:03:31.935353|INFO    |PktHandler    |1  |Dropping client 19 because of ping timeout 19 0 0
2019-03-26 12:11:03.351566|INFO    |VirtualServer |1  |client (id:73) was removed from servergroup 'Antipass'(id:9) by client 'Lüthièn'(id:16)
2019-03-26 12:18:15.471810|INFO    |VirtualServer |1  |client (id:137) was removed from servergroup 'Antipass'(id:9) by client 'Lüthièn'(id:16)
2019-03-26 12:19:13.496069|INFO    |VirtualServer |1  |client (id:137) was added to servergroup 'Antipass'(id:9) by client 'Lüthièn'(id:16)
2019-03-26 12:19:19.716076|INFO    |VirtualServer |1  |client (id:73) was added to servergroup 'Antipass'(id:9) by client 'Lüthièn'(id:16)
2019-03-26 12:24:48.007245|INFO    |VirtualServer |1  |client (id:137) was removed from servergroup 'Antipass'(id:9) by client 'Lüthièn'(id:16)
2019-03-26 12:25:56.181674|INFO    |VirtualServer |1  |client (id:137) was added to servergroup 'Antipass'(id:9) by client 'Lüthièn'(id:16)
2019-03-26 14:12:43.390050|INFO    |PktHandler    |1  |Dropping client 24 because of ping timeout 19 0 0
2019-03-26 14:57:04.420738|INFO    |PktHandler    |1  |Dropping client 25 because of ping timeout 19 0 0
2019-03-26 17:40:14.296598|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2019-03-27 03:38:45.049334|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2019-03-27 04:54:18.578240|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2019-03-27 07:34:15.771082|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2019-03-28 10:26:22.930803|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2019-03-29 09:39:05.171045|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2019-03-30 16:18:08.124943|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2019-03-31 07:04:23.293702|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2019-03-31 10:32:35.998788|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2019-03-31 10:33:59.165258|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2019-03-31 11:54:26.944847|INFO    |VirtualServer |1  |client (id:509) was added to servergroup 'Monkas'(id:6) by client 'Merodachs'(id:437)
2019-03-31 12:03:43.373434|INFO    |PktHandler    |1  |Dropping client 21 because of ping timeout 19 0 0
2019-03-31 12:05:10.595334|INFO    |PktHandler    |1  |Dropping client 12 because of ping timeout 19 0 0
2019-03-31 12:33:27.902966|INFO    |PktHandler    |1  |Cleaning up connection because of 8 resends of COMMAND packet
2019-03-31 16:00:54.545378|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2019-04-01 03:50:01.563362|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2019-04-01 12:42:08.045650|INFO    |PktHandler    |1  |Dropping client 15 because of ping timeout 19 0 0
2019-04-01 13:28:59.034129|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2019-04-01 15:20:21.290042|INFO    |PktHandler    |1  |Dropping client 24 because of ping timeout 19 0 0
2019-04-01 15:20:54.064462|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2019-04-01 15:20:54.064606|INFO    |PktHandler    |1  |Dropping client 26 because of resend timeout
2019-04-01 15:21:23.734687|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2019-04-01 15:21:23.735068|INFO    |PktHandler    |1  |Dropping client 27 because of resend timeout
2019-04-01 15:22:17.456422|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2019-04-01 15:22:17.456533|INFO    |PktHandler    |1  |Dropping client 28 because of resend timeout
2019-04-01 15:22:28.881117|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2019-04-01 15:22:28.881213|INFO    |PktHandler    |1  |Dropping client 29 because of resend timeout
2019-04-01 15:55:35.215977|INFO    |PktHandler    |1  |Dropping client 31 because of ping timeout 19 0 0
2019-04-01 17:09:19.755031|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2019-04-01 18:37:28.868224|INFO    |PktHandler    |1  |Dropping client 12 because of ping timeout 19 0 0
2019-04-01 18:38:58.979078|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2019-04-01 18:38:58.979192|INFO    |PktHandler    |1  |Dropping client 13 because of resend timeout
2019-04-02 09:32:49.910948|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2019-04-02 16:47:01.216660|INFO    |PktHandler    |1  |Dropping client 21 because of ping timeout 19 0 0
2019-04-03 10:22:20.288561|INFO    |PktHandler    |1  |Dropping client 12 because of ping timeout 19 0 0
2019-04-03 15:20:13.166322|INFO    |PktHandler    |1  |Dropping client 18 because of ping timeout 19 0 0
2019-04-04 12:11:56.714929|INFO    |PktHandler    |1  |Dropping client 16 because of ping timeout 19 0 0
2019-04-04 12:35:39.229580|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2019-04-04 14:43:32.910153|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2019-04-04 14:43:32.910277|INFO    |PktHandler    |1  |Dropping client 11 because of resend timeout
2019-04-04 17:38:04.644661|INFO    |PktHandler    |1  |Dropping client 13 because of ping timeout 19 0 0
2019-04-04 18:28:05.571612|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2019-04-04 22:00:42.150914|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2019-04-05 12:03:52.809685|INFO    |PktHandler    |1  |Dropping client 6 because of ping timeout 19 0 0
2019-04-05 15:11:01.360618|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2019-04-06 05:26:07.078277|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2019-04-06 05:32:05.164028|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
2019-04-06 06:12:11.033219|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2019-04-06 08:48:41.136609|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2019-04-06 09:12:50.961161|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2019-04-07 03:44:38.069402|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2019-04-07 04:36:47.781944|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
2019-04-07 14:56:20.437993|INFO    |PktHandler    |1  |Dropping client 19 because of ping timeout 19 0 0
2019-04-07 15:32:42.716159|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2019-04-07 15:39:20.662216|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2019-04-07 18:17:50.801068|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2019-04-08 03:45:10.198196|INFO    |PktHandler    |1  |Dropping client 6 because of ping timeout 19 0 0
2019-04-08 06:55:47.768654|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2019-04-08 09:16:01.954258|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
2019-04-08 13:39:09.643098|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2019-04-08 14:25:57.453120|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2019-04-09 10:45:28.631119|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2019-04-09 13:11:57.131100|INFO    |VirtualServer |1  |client (id:137) was added to servergroup 'Normal'(id:7) by client 'Lüthièn'(id:16)
2019-04-09 13:14:25.362268|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2019-04-09 13:31:09.795459|INFO    |PktHandler    |1  |Dropping client 12 because of ping timeout 19 0 0
2019-04-09 15:11:51.118749|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2019-04-09 18:47:05.926553|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
