2018-08-14 12:08:36.314800|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-08-14 12:08:36.314910|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-1008-gcp #8-Ubuntu SMP Thu May 17 08:10:14 UTC 2018 x86_64 Binary: 64bit
2018-08-14 12:08:36.314931|INFO    |ServerLibPriv |   |Using hardware aes
2018-08-14 12:08:36.315847|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-08-14 12:08:36.315881|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-08-14 12:08:36.319899|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-08-14 12:08:36.342474|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-08-14 12:08:36.342648|INFO    |Accounting    |   |Licensing Information
2018-08-14 12:08:36.342666|INFO    |Accounting    |   |licensed to       : Anonymous
2018-08-14 12:08:36.342677|INFO    |Accounting    |   |type              : No License
2018-08-14 12:08:36.342694|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-08-14 12:08:36.342704|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-08-14 12:08:36.342713|INFO    |Accounting    |   |max virtualservers: 1
2018-08-14 12:08:36.342722|INFO    |Accounting    |   |max slots         : 32
2018-08-14 12:08:36.492467|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-08-14 12:08:37.991771|INFO    |              |   |Puzzle precompute time: 1592
2018-08-14 12:08:37.992322|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-08-14 12:08:37.997713|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-08-14 12:08:37.997847|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2018-08-14 12:10:32.448435|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
