2019-03-25 11:30:39.889343|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2019-03-25 11:30:39.889479|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-1028-gcp #29-Ubuntu SMP Thu Feb 7 18:20:08 UTC 2019 x86_64 Binary: 64bit
2019-03-25 11:30:39.889508|INFO    |ServerLibPriv |   |Using hardware aes
2019-03-25 11:30:39.890331|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-03-25 11:30:39.890365|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-03-25 11:30:39.890598|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-03-25 11:30:39.968727|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-03-25 11:30:39.969083|INFO    |Accounting    |   |Licensing Information
2019-03-25 11:30:39.969110|INFO    |Accounting    |   |licensed to       : Anonymous
2019-03-25 11:30:39.969125|INFO    |Accounting    |   |type              : No License
2019-03-25 11:30:39.969146|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2019-03-25 11:30:39.969157|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2019-03-25 11:30:39.969166|INFO    |Accounting    |   |max virtualservers: 1
2019-03-25 11:30:39.969176|INFO    |Accounting    |   |max slots         : 32
2019-03-25 11:30:40.022060|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-03-25 11:30:41.568202|INFO    |              |   |Puzzle precompute time: 1568
2019-03-25 11:30:41.568788|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-03-25 11:30:41.583663|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-03-25 11:30:41.583746|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-03-25 12:07:42.603666|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:07:43.821201|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 12:07:43.838397|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 12:07:43.842729|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 12:07:43.877685|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 12:07:43.926898|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 12:07:43.973201|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 12:07:47.366817|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:07:48.124535|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 12:07:48.128903|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 12:07:48.129389|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 12:07:48.154055|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 12:07:48.154904|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 12:07:48.258536|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 12:07:59.368986|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:08:11.991708|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:08:12.119536|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 12:08:49.464116|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:09:11.305127|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:09:33.158603|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 12:09:33.179122|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 12:09:33.185813|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 12:09:33.205458|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 12:09:33.220172|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 12:09:33.294371|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 12:11:28.108182|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 12:11:28.168896|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 12:11:28.170120|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 12:11:28.172103|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 12:11:28.175346|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 12:11:28.685971|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 12:11:28.687460|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 12:47:08.300415|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 12:47:08.574401|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 12:47:08.578136|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 12:47:08.578243|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 12:47:08.598324|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 12:47:10.564367|INFO    |              |   |Error opening file "files/virtualserver_1/internal/avatar_fcbnjifnkjoflbjnappbombbjglgnakjkeiclkbd": No such file or directory
2019-03-25 12:56:08.117577|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 12:56:08.194599|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 13:00:28.421363|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 13:00:28.423853|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 13:00:28.423980|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 13:00:28.424521|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 13:00:28.424881|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 13:00:28.542548|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 13:00:28.542733|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 13:00:37.159263|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 13:00:37.160299|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 13:00:37.160482|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 13:00:37.160602|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 13:00:37.207029|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 13:00:37.214625|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 13:00:37.214827|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 13:00:51.795321|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 13:00:51.798992|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3417122722": No such file or directory
2019-03-25 13:00:51.799162|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 13:00:51.799755|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
2019-03-25 13:00:51.800593|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_95679974": No such file or directory
2019-03-25 13:00:51.853940|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_871106730": No such file or directory
2019-03-25 13:00:51.854195|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_916649827": No such file or directory
2019-03-25 13:09:28.159309|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_345037176": No such file or directory
2019-03-25 13:09:28.161888|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1297365456": No such file or directory
2019-03-25 13:09:28.161958|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_913662668": No such file or directory
