2018-08-14 12:04:49.314446|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-08-14 12:04:49.314541|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-1008-gcp #8-Ubuntu SMP Thu May 17 08:10:14 UTC 2018 x86_64 Binary: 64bit
2018-08-14 12:04:49.314563|INFO    |ServerLibPriv |   |Using hardware aes
2018-08-14 12:04:49.315364|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-08-14 12:04:49.315398|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-08-14 12:04:49.315653|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-08-14 12:04:49.325838|INFO    |SQL           |   |db_CreateTables() tables created
2018-08-14 12:04:49.420757|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-08-14 12:04:49.421091|INFO    |Accounting    |   |Licensing Information
2018-08-14 12:04:49.421116|INFO    |Accounting    |   |licensed to       : Anonymous
2018-08-14 12:04:49.421127|INFO    |Accounting    |   |type              : No License
2018-08-14 12:04:49.421153|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-08-14 12:04:49.421164|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-08-14 12:04:49.421173|INFO    |Accounting    |   |max virtualservers: 1
2018-08-14 12:04:49.421182|INFO    |Accounting    |   |max slots         : 32
2018-08-14 12:04:49.554838|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-08-14 12:04:51.096802|INFO    |              |   |Puzzle precompute time: 1643
2018-08-14 12:04:51.097467|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-08-14 12:04:51.098093|INFO    |VirtualSvrMgr |   |executing monthly interval
2018-08-14 12:04:51.098199|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2018-08-14 12:04:51.125221|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-08-14 12:04:51.125346|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2018-08-14 12:08:35.299616|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
